Model,Mean Reward,Std Dev,Min,Max,Win Rate (%),Success Rate (%),Avg Steps,Episodes,Steering (std),Throttle (mean),Brake (mean)
model_0200k,220.0764352150512,115.67430176525401,4.729729729730687,449.83922829580314,0.0,100.0,1000.0,30,0,0.5289258827765783,-0.6407951096693675
model_0500k,318.39342757950106,176.2801410283129,50.17064846416802,843.8943894389308,0.0,100.0,1000.0,30,0,0.8505280174314975,-0.4687891776363055
model_1000k,378.67891761830407,270.1232982360202,-7.063197026021854,883.4710743801513,0.0,96.66666666666667,974.5,30,0,0.5702488490690788,-0.31465020421892403
model_1500k,733.2662885528887,258.3355397180706,94.5392491467629,938.9999999999953,36.666666666666664,100.0,897.7,30,0,0.5613714635372162,-0.4205997586250305
model_2000k,774.5684376661543,222.55723144376222,235.50488599347526,941.2999999999956,43.333333333333336,100.0,897.3666666666667,30,0,0.472017506758372,-0.5353590746720632
model_2500k,788.3831578864223,195.8145064714643,195.93333333332168,932.4999999999858,26.666666666666668,100.0,942.9333333333333,30,0,0.38548716381192205,-0.5274295707543691
model_3000k,776.247799085986,181.56660398021253,292.1568627450814,933.2999999999913,20.0,100.0,958.5,30,0,0.423567774395148,-0.5277460197607676
