Model,Mean Reward,Std Dev,Min,Max,Win Rate (%),Success Rate (%),Avg Steps,Episodes,Steering (std),Throttle (mean),Brake (mean)
model_0200k,207.61582609378996,136.68401656862443,-47.20496894410018,492.4657534246422,0.0,93.33333333333333,1000.0,30,0,0.5416297813256582,-0.6886526207129161
model_0500k,316.67973530860166,183.92207167991577,-16.281818181813264,834.5454545454356,0.0,96.66666666666667,999.4,30,0,0.8232966847717762,-0.4613839042062561
model_1000k,298.02110920682725,192.3826615742672,-11.97183098591531,737.0370370370181,0.0,96.66666666666667,978.5,30,0,0.5235601435105006,-0.3455466564744711
model_1500k,752.0545156366458,251.58736546881264,89.3687707641248,932.999999999987,33.33333333333333,100.0,902.3,30,0,0.5797455946604411,-0.4384154121081034
model_2000k,775.0579717199505,231.95901415902256,129.39068100358932,933.9999999999872,46.666666666666664,100.0,881.6,30,0,0.47811982929706576,-0.5458815862735112
model_2500k,820.8885225964498,181.94322960400416,115.9468438538259,936.5999999999912,36.666666666666664,100.0,909.1666666666666,30,0,0.4170958658059438,-0.5245908752083779
model_3000k,807.9927527133552,140.3624482018567,411.55115511549593,937.699999999989,23.333333333333332,100.0,968.1333333333333,30,0,0.3807361076275508,-0.5008905875186126
