Model,Mean Reward,Std Dev,Min,Max,Win Rate (%),Success Rate (%),Avg Steps,Episodes,Steering (std),Throttle (mean),Brake (mean)
model_0200k,91.14259039802579,89.78503251283242,-29.637888198756983,348.80676691727797,0.0,96.66666666666667,242.86666666666667,30,0.38731697499752044,0.3720251431067785,-0.5146963606278102
model_0500k,258.1449658433302,123.4048136379317,55.313738019170685,509.0704225352097,0.0,100.0,361.1,30,0.9174668351809184,0.216400920599699,-0.8114884739120801
model_1000k,421.07921772847016,215.24043040315536,101.63799283154188,845.0636363636266,0.0,100.0,523.0666666666667,30,1.0650158445040385,-0.2758012150724729,-0.8572992960611979
model_1250k,535.0381276650904,274.47247705901606,72.51373801917052,932.5999999999884,23.333333333333332,100.0,581.6666666666666,30,1.056111788749695,-0.3777518212795258,-1.1157945076624551
model_1500k,639.5959239562384,295.38417051732677,49.31884984026061,935.1999999999865,33.33333333333333,100.0,683.5,30,1.153080733617147,-0.272134401400884,-1.2049857748051485
model_2000k,802.5763436673377,235.33972341843815,93.92458471760895,934.7999999999884,70.0,100.0,699.0333333333333,30,1.3755680600802103,-0.32078979002932706,-1.3542089939117432
model_2500k,845.9034730943181,144.28493363838103,259.60372670807175,935.9999999999865,53.333333333333336,100.0,746.1666666666666,30,1.625812824567159,-0.33447242329518,-1.2727962692578634
model_3000k,816.7958037948877,197.76134933903597,178.7885245901648,938.3999999999957,53.333333333333336,100.0,730.4,30,1.679201567173004,-0.5188092449059089,-1.3904524326324463
